"Family ID","Father Alive","Mother Alive","Father's Education","Mother's Education","Father's Job","Mother's Job","Marital Status","Family Income","Number of Family Members",Gender,"School Type",Stage,Grade,"Tutoring Support","Social Activities","Chronic Disease","First Semester Average","Second Semester Average","Difference (Semester 2 - Semester 1)","Daily Smart Device Usage","Other Influencing Factors","Additional Suggestions","Response Language","Submission Date"
1,Yes,Yes,Master's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",3,Male,Private,Primary,Fourth,No,Yes,Yes,100.00,100.00,0.00,"1 - 3 hours","تشجيع الوالدين والمعلمين",,Arabic,"2026-07-09 11:41:54"
2,Yes,Yes,Master's,Bachelor's,Employed,Unemployed,Married,"700 – 1000 BHD",2,Female,Government,Primary,Fourth,Yes,Yes,No,99.00,100.00,1.00,"Less than an hour",,,Arabic,"2026-07-09 13:47:39"
3,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",2,Male,Government,Primary,First,Yes,Yes,No,90.00,92.00,2.00,"Less than an hour",لا,,Arabic,"2026-07-10 16:43:18"
4,Yes,Yes,Bachelor's,Bachelor's,Unemployed,Unemployed,Married,"More than 1000 BHD",2,Female,Private,Primary,Sixth,No,Yes,No,93.00,95.00,2.00,"3 - 5 hours","رغبة الطالب في تحصيل العلوم.",,Arabic,"2026-07-11 14:59:17"
4,Yes,Yes,Bachelor's,Bachelor's,Unemployed,Unemployed,Married,"More than 1000 BHD",2,Female,Government,Secondary,Second,Yes,Yes,No,95.00,96.00,1.00,"1 - 3 hours","رغبة الطالب في تحصيل العلوم.",,Arabic,"2026-07-11 14:59:17"
5,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",2,Female,Government,Primary,Fourth,No,Yes,No,99.80,99.90,0.10,"1 - 3 hours",,,Arabic,"2026-07-11 15:00:17"
6,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",1,Female,Private,Primary,Third,No,Yes,No,97.00,99.00,2.00,"3 - 5 hours",لا,لا,Arabic,"2026-07-11 15:02:10"
7,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",2,Female,Government,Primary,Fourth,No,Yes,No,99.80,99.80,0.00,"1 - 3 hours",,,Arabic,"2026-07-11 15:13:37"
8,Yes,Yes,Bachelor's,Secondary,Employed,Employed,Married,"More than 1000 BHD",2,Male,Government,Intermediate,First,No,Yes,No,99.00,99.00,0.00,"3 - 5 hours","نعم المستوى التعليمي للوالدين، والمستوى المعيشي، والبيئة العائلية القريبة",,Arabic,"2026-07-11 15:15:19"
8,Yes,Yes,Bachelor's,Secondary,Employed,Employed,Married,"More than 1000 BHD",2,Female,Government,Intermediate,First,No,No,No,98.00,98.00,0.00,"3 - 5 hours","نعم المستوى التعليمي للوالدين، والمستوى المعيشي، والبيئة العائلية القريبة",,Arabic,"2026-07-11 15:15:19"
9,Yes,Yes,Diploma,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",3,Female,Government,Intermediate,Third,Yes,No,No,98.00,98.00,0.00,"More than 5 hours","الحرب و تحويلهم عن بعد",,Arabic,"2026-07-11 15:21:36"
9,Yes,Yes,Diploma,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",3,Male,Government,Primary,Sixth,Yes,No,No,97.00,91.00,-6.00,"More than 5 hours","الحرب و تحويلهم عن بعد",,Arabic,"2026-07-11 15:21:36"
10,Yes,Yes,Master's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",3,Female,Government,Intermediate,Third,Yes,Yes,No,99.00,99.00,0.00,"3 - 5 hours",لا,لايوجد,Arabic,"2026-07-11 15:26:16"
10,Yes,Yes,Master's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",3,Male,Government,Intermediate,Second,Yes,Yes,No,99.00,99.00,0.00,"3 - 5 hours",لا,لايوجد,Arabic,"2026-07-11 15:26:16"
10,Yes,Yes,Master's,Bachelor's,Employed,Employed,Married,"More than 1000 BHD",3,Female,Government,Primary,Fifth,Yes,Yes,No,98.00,98.00,0.00,"1 - 3 hours",لا,لايوجد,Arabic,"2026-07-11 15:26:16"
11,Yes,Yes,Secondary,Secondary,Employed,Unemployed,Married,"300 – 700 BHD",4,Male,Government,Primary,Fifth,Yes,Yes,No,96.50,95.00,-1.50,"1 - 3 hours",ا,"لا يوجد",Arabic,"2026-07-11 15:38:01"
11,Yes,Yes,Secondary,Secondary,Employed,Unemployed,Married,"300 – 700 BHD",4,Male,Government,Primary,Third,Yes,Yes,No,98.50,98.00,-0.50,"1 - 3 hours",ا,"لا يوجد",Arabic,"2026-07-11 15:38:01"
11,Yes,Yes,Secondary,Secondary,Employed,Unemployed,Married,"300 – 700 BHD",4,Female,Government,Primary,First,Yes,Yes,No,99.50,99.00,-0.50,"1 - 3 hours",ا,"لا يوجد",Arabic,"2026-07-11 15:38:01"
12,Yes,Yes,Bachelor's,Bachelor's,Employed,Unemployed,Married,"700 – 1000 BHD",4,Male,Government,Primary,Sixth,Yes,Yes,Yes,99.00,99.00,0.00,"1 - 3 hours",لا,,Arabic,"2026-07-11 15:40:01"
12,Yes,Yes,Bachelor's,Bachelor's,Employed,Unemployed,Married,"700 – 1000 BHD",4,Female,Government,Secondary,First,No,Yes,No,98.00,98.60,0.60,"3 - 5 hours",لا,,Arabic,"2026-07-11 15:40:01"
12,Yes,Yes,Bachelor's,Bachelor's,Employed,Unemployed,Married,"700 – 1000 BHD",4,Female,Government,Primary,Third,No,No,No,100.00,100.00,0.00,"1 - 3 hours",لا,,Arabic,"2026-07-11 15:40:01"
13,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",3,Male,Government,Secondary,Third,Yes,Yes,No,95.00,98.00,3.00,"More than 5 hours",,,Arabic,"2026-07-11 15:53:39"
13,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",3,Female,Government,Intermediate,Second,Yes,Yes,No,99.00,99.00,0.00,"More than 5 hours",,,Arabic,"2026-07-11 15:53:39"
13,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",3,Female,Government,Primary,Second,Yes,Yes,No,100.00,99.00,-1.00,"1 - 3 hours",,,Arabic,"2026-07-11 15:53:39"
14,Yes,Yes,Diploma,Diploma,Unemployed,Self-employed,Married,"700 – 1000 BHD",4,Female,Government,Primary,Second,No,Yes,No,97.00,97.00,0.00,"Less than an hour",,,Arabic,"2026-07-11 15:53:42"
14,Yes,Yes,Diploma,Diploma,Unemployed,Self-employed,Married,"700 – 1000 BHD",4,Female,Government,Primary,Fifth,No,Yes,No,95.00,98.50,3.50,"Less than an hour",,,Arabic,"2026-07-11 15:53:42"
14,Yes,Yes,Diploma,Diploma,Unemployed,Self-employed,Married,"700 – 1000 BHD",4,Female,Government,Intermediate,Second,No,Yes,No,97.00,98.25,1.25,"Less than an hour",,,Arabic,"2026-07-11 15:53:42"
15,Yes,Yes,Master's,Bachelor's,Self-employed,Employed,Married,"More than 1000 BHD",3,Female,Private,Intermediate,First,No,No,No,99.00,99.50,0.50,"1 - 3 hours",لا,,Arabic,"2026-07-11 16:22:14"
15,Yes,Yes,Master's,Bachelor's,Self-employed,Employed,Married,"More than 1000 BHD",3,Male,Private,Primary,Third,No,No,Yes,95.00,95.00,0.00,"1 - 3 hours",لا,,Arabic,"2026-07-11 16:22:14"
16,Yes,Yes,Secondary,Secondary,Self-employed,Unemployed,Married,"700 – 1000 BHD",1,Male,Private,Primary,Third,No,Yes,No,95.00,95.00,0.00,"1 - 3 hours",,,Arabic,"2026-07-11 16:34:59"
17,Yes,Yes,Bachelor's,Secondary,Employed,Unemployed,Married,"More than 1000 BHD",4,Male,Private,Primary,Sixth,No,No,No,95.00,95.00,0.00,"3 - 5 hours",,,Arabic,"2026-07-11 17:03:42"
18,Yes,Yes,Bachelor's,Bachelor's,Employed,Retired,Married,"More than 1000 BHD",4,Female,Private,Secondary,First,No,No,No,80.00,94.00,14.00,"3 - 5 hours","الانشغالات الاخرى في العالم الافتراضي",,Arabic,"2026-07-11 17:14:08"
19,Yes,Yes,Bachelor's,Bachelor's,Retired,Employed,Married,"700 – 1000 BHD",4,Male,Government,Intermediate,Third,No,Yes,No,96.00,97.00,1.00,"3 - 5 hours",,,Arabic,"2026-07-11 17:14:14"
19,Yes,Yes,Bachelor's,Bachelor's,Retired,Employed,Married,"700 – 1000 BHD",4,Male,Government,Primary,Fifth,No,Yes,No,98.00,98.00,0.00,"3 - 5 hours",,,Arabic,"2026-07-11 17:14:14"
20,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",3,Female,Government,Primary,Sixth,Yes,No,No,98.00,99.00,1.00,"1 - 3 hours",,,Arabic,"2026-07-11 17:17:22"
20,Yes,Yes,Bachelor's,Bachelor's,Employed,Employed,Married,"700 – 1000 BHD",3,Male,Government,Primary,Third,Yes,Yes,No,100.00,99.00,-1.00,"1 - 3 hours",,,Arabic,"2026-07-11 17:17:22"
21,Yes,Yes,Bachelor's,Bachelor's,Employed,Unemployed,Married,"More than 1000 BHD",2,Male,Government,Primary,First,No,No,No,98.00,99.00,1.00,"3 - 5 hours","نادرا جدا ما يأكل الطعام الصحي او لا يأكل الطعام الصحي بتاتا","لا يوجد",Arabic,"2026-07-11 17:43:43"
